"customer_id","customer_name","city","state","country","postal_code","segment","market","region"
"SC-20575","Sonia Cooley","Mexico City","Distrito Federal","Mexico","NA","Consumer","LATAM","LATAM-North"
"KW-16570","Kelly Williams","Dos Quebradas","Risaralda","Colombia","NA","Consumer","LATAM","LATAM-South"
"DP-13000","Darren Powers","São Paulo","São Paulo","Brazil","NA","Consumer","LATAM","LATAM-South"
"TB-21250","Tim Brockman","Managua","Managua","Nicaragua","NA","Consumer","LATAM","LATAM-Central"
"PK-18910","Paul Knutson","Managua","Managua","Nicaragua","NA","Home Office","LATAM","LATAM-Central"
"JK-15625","Jim Karlsson","Brasília","Federal District","Brazil","NA","Consumer","LATAM","LATAM-South"
"HE-14800","Harold Engle","San Miguelito","Panama","Panama","NA","Corporate","LATAM","LATAM-Central"
"JE-15610","Jim Epp","San Cristóbal de Las Casas","Chiapas","Mexico","NA","Corporate","LATAM","LATAM-North"
"TB-21055","Ted Butterfield","Santiago","Santiago","Chile","NA","Consumer","LATAM","LATAM-South"
"DW-13195","David Wiener","Panama City","Panama","Panama","NA","Corporate","LATAM","LATAM-Central"
"SJ-20215","Sarah Jordon","Hermosillo","Sonora","Mexico","NA","Consumer","LATAM","LATAM-North"
"SP-20650","Stephanie Phelps","Coyoacán","Distrito Federal","Mexico","NA","Corporate","LATAM","LATAM-North"
"SC-20050","Sample Company A","Tegucigalpa","Francisco Morazán","Honduras","NA","Home Office","LATAM","LATAM-Central"
"DM-13525","Don Miller","Mexico City","Distrito Federal","Mexico","NA","Corporate","LATAM","LATAM-North"
"SC-20440","Shaun Chance","Artemisa","Artemisa","Cuba","NA","Corporate","LATAM","Caribbean"
"AR-10825","Anthony Rawles","La Romana","La Romana","Dominican Republic","NA","Corporate","LATAM","Caribbean"
"RW-19690","Robert Waldorf","Milpa Alta","Distrito Federal","Mexico","NA","Consumer","LATAM","LATAM-North"
"MT-17815","Meg Tillman","San Juan del Río","Querétaro","Mexico","NA","Consumer","LATAM","LATAM-North"
"LC-16960","Lindsay Castell","Goiânia","Goiás","Brazil","NA","Home Office","LATAM","LATAM-South"
"AS-10240","Alan Shonely","Santo Domingo","Santo Domingo","Dominican Republic","NA","Consumer","LATAM","Caribbean"
